balance_id,period_end,business_unit_id,region,currency_code,cash_usd_m,accounts_receivable_usd_m,inventory_usd_m,accounts_payable_usd_m,net_fixed_assets_usd_m,total_debt_usd_m,outlier_flag
BS_202101_BU01_APAC,2021-01-31,BU01,Asia Pacific,USD,68.57,167.5,2.71,55.27,691.18,772.43,0
BS_202101_BU01_EU,2021-01-31,BU01,Europe,USD,54.16,137.08,2.24,49.22,548.38,593.09,0
BS_202101_BU01_LATAM,2021-01-31,BU01,Latin America,USD,22.62,62.24,0.93,20.95,238.86,255.63,0
BS_202101_BU01_NA,2021-01-31,BU01,North America,USD,85.1,207.84,3.58,76.99,906.81,992.85,0
BS_202101_BU02_APAC,2021-01-31,BU02,Asia Pacific,USD,57.96,166.41,135.44,62.6,894.23,679.54,0
BS_202101_BU02_EU,2021-01-31,BU02,Europe,USD,64.62,184.33,152.5,75.33,1008.46,733.12,0
BS_202101_BU02_LATAM,2021-01-31,BU02,Latin America,USD,28.75,92.82,71.35,35.88,465.56,334.55,0
BS_202101_BU02_NA,2021-01-31,BU02,North America,USD,92.88,240.99,222.69,105.4,1514.27,1115.04,0
BS_202101_BU03_APAC,2021-01-31,BU03,Asia Pacific,USD,49.05,153.32,64.68,60.86,779.03,602.03,0
BS_202101_BU03_EU,2021-01-31,BU03,Europe,USD,59.52,191.39,81.8,83.84,971.22,704.11,0
BS_202101_BU03_LATAM,2021-01-31,BU03,Latin America,USD,18.42,66.29,25.98,27.49,310.67,225.16,0
BS_202101_BU03_NA,2021-01-31,BU03,North America,USD,107.77,332.84,149.49,149.89,1828.64,1347.3,0
BS_202101_BU04_APAC,2021-01-31,BU04,Asia Pacific,USD,52.34,225.02,204.95,111.64,1985.79,981.9,0
BS_202101_BU04_EU,2021-01-31,BU04,Europe,USD,62.61,281.75,252.78,150.16,2665.82,1192.85,0
BS_202101_BU04_LATAM,2021-01-31,BU04,Latin America,USD,20.73,103.23,87.77,52.22,827.0,390.77,0
BS_202101_BU04_NA,2021-01-31,BU04,North America,USD,74.7,310.26,302.04,160.88,3055.68,1442.55,0
BS_202101_BU05_APAC,2021-01-31,BU05,Asia Pacific,USD,46.84,85.63,0.59,25.53,266.6,453.58,0
BS_202101_BU05_EU,2021-01-31,BU05,Europe,USD,30.63,55.74,0.39,18.08,177.51,289.21,0
BS_202101_BU05_LATAM,2021-01-31,BU05,Latin America,USD,14.89,31.15,0.2,9.74,88.77,143.67,0
BS_202101_BU05_NA,2021-01-31,BU05,North America,USD,58.39,100.62,0.76,34.41,354.87,583.26,0
BS_202102_BU01_APAC,2021-02-28,BU01,Asia Pacific,USD,68.02,183.84,2.92,62.01,692.63,786.05,0
BS_202102_BU01_EU,2021-02-28,BU01,Europe,USD,55.24,144.0,2.35,52.12,549.39,603.08,0
BS_202102_BU01_LATAM,2021-02-28,BU01,Latin America,USD,22.23,67.8,1.01,23.8,239.33,260.37,0
BS_202102_BU01_NA,2021-02-28,BU01,North America,USD,88.79,226.35,3.82,84.54,908.67,1012.5,0
BS_202102_BU02_APAC,2021-02-28,BU02,Asia Pacific,USD,57.08,172.23,134.56,97.57,895.29,680.72,0
BS_202102_BU02_EU,2021-02-28,BU02,Europe,USD,65.59,192.32,154.96,93.755,1009.67,736.19,0
BS_202102_BU02_LATAM,2021-02-28,BU02,Latin America,USD,27.96,95.61,70.44,54.92,466.11,334.09,0
BS_202102_BU02_NA,2021-02-28,BU02,North America,USD,95.9,247.14,224.75,167.48,1516.19,1113.14,0
BS_202102_BU03_APAC,2021-02-28,BU03,Asia Pacific,USD,48.36,164.32,68.43,72.43,781.07,609.01,0
BS_202102_BU03_EU,2021-02-28,BU03,Europe,USD,60.51,208.55,90.37,106.48,973.42,711.96,0
BS_202102_BU03_LATAM,2021-02-28,BU03,Latin America,USD,17.99,73.51,28.07,34.26,311.43,228.58,0
BS_202102_BU03_NA,2021-02-28,BU03,North America,USD,111.38,355.73,161.98,181.16,1832.5,1362.3,0
BS_202102_BU04_APAC,2021-02-28,BU04,Asia Pacific,USD,51.43,242.38,218.86,154.6,1988.88,989.88,0
BS_202102_BU04_EU,2021-02-28,BU04,Europe,USD,63.24,306.28,273.88,211.0,2669.52,1203.73,0
BS_202102_BU04_LATAM,2021-02-28,BU04,Latin America,USD,20.17,113.58,93.84,73.36,828.28,394.59,0
BS_202102_BU04_NA,2021-02-28,BU04,North America,USD,77.07,349.39,337.85,268.35,3060.45,1451.86,0
BS_202102_BU05_APAC,2021-02-28,BU05,Asia Pacific,USD,46.77,93.37,0.65,28.99,267.2,464.03,0
BS_202102_BU05_EU,2021-02-28,BU05,Europe,USD,31.25,59.96,0.43,20.41,177.79,293.18,0
BS_202102_BU05_LATAM,2021-02-28,BU05,Latin America,USD,14.65,33.77,0.22,11.04,88.91,146.42,0
BS_202102_BU05_NA,2021-02-28,BU05,North America,USD,61.12,111.79,0.85,39.57,355.47,596.36,0
BS_202103_BU01_APAC,2021-03-31,BU01,Asia Pacific,USD,67.09,178.94,2.82,59.76,694.8,796.4,0
BS_202103_BU01_EU,2021-03-31,BU01,Europe,USD,55.47,140.53,2.28,50.3,550.67,609.05,0
BS_202103_BU01_LATAM,2021-03-31,BU01,Latin America,USD,21.96,66.93,0.98,23.08,240.0,264.29,0
BS_202103_BU01_NA,2021-03-31,BU01,North America,USD,92.23,225.89,3.83,83.51,911.39,1031.24,0
BS_202103_BU02_APAC,2021-03-31,BU02,Asia Pacific,USD,55.51,165.37,124.04,83.9,897.05,680.76,0
BS_202103_BU02_EU,2021-03-31,BU02,Europe,USD,65.53,185.71,149.32,112.18,1012.03,740.35,0
BS_202103_BU02_LATAM,2021-03-31,BU02,Latin America,USD,27.28,91.17,64.6,47.05,466.91,333.84,0
BS_202103_BU02_NA,2021-03-31,BU02,North America,USD,98.54,251.49,223.33,173.79,1519.77,1122.97,0
BS_202103_BU03_APAC,2021-03-31,BU03,Asia Pacific,USD,47.3,161.52,67.09,63.77,783.67,614.02,0
BS_202103_BU03_EU,2021-03-31,BU03,Europe,USD,60.44,201.87,87.29,84.24,976.2,717.3,0
BS_202103_BU03_LATAM,2021-03-31,BU03,Latin America,USD,17.59,68.33,26.46,26.0,312.29,229.65,0
BS_202103_BU03_NA,2021-03-31,BU03,North America,USD,114.53,347.86,160.84,156.1,1838.32,1374.13,0
BS_202103_BU04_APAC,2021-03-31,BU04,Asia Pacific,USD,50.14,242.66,216.26,127.12,1993.33,1000.5,0
BS_202103_BU04_EU,2021-03-31,BU04,Europe,USD,62.92,308.14,276.37,180.04,2673.42,1213.83,0
BS_202103_BU04_LATAM,2021-03-31,BU04,Latin America,USD,19.76,113.67,94.05,63.3,830.16,398.47,0
BS_202103_BU04_NA,2021-03-31,BU04,North America,USD,78.95,353.86,341.2,215.18,3067.7,1469.83,0
BS_202103_BU05_APAC,2021-03-31,BU05,Asia Pacific,USD,46.09,90.32,0.61,27.57,267.97,469.98,0
BS_202103_BU05_EU,2021-03-31,BU05,Europe,USD,31.56,59.5,0.42,20.17,178.28,298.24,0
BS_202103_BU05_LATAM,2021-03-31,BU05,Latin America,USD,14.47,32.38,0.21,10.54,89.2,148.27,0
BS_202103_BU05_NA,2021-03-31,BU05,North America,USD,63.73,113.04,0.86,40.13,356.69,608.75,0
