assumption_id,year,scenario,wacc,terminal_growth_rate,gdp_growth_rate,inflation_rate,revenue_growth_adjustment_pp,ebitda_margin_adjustment_pp,capex_adjustment_pct,capital_budget_usd_m
MA_2021_BASE,2021,Base,0.091,0.025,0.066,0.031,0.0,0.0,0.0,1017.61
MA_2022_BASE,2022,Base,0.098,0.025,0.038,0.073,0.0,0.0,0.0,1062.72
MA_2023_BASE,2023,Base,0.104,0.024,0.035,0.046,0.0,0.0,0.0,1105.31
MA_2024_BASE,2024,Base,0.101,0.025,0.033,0.026,0.0,0.0,0.0,1266.03
MA_2025_BASE,2025,Base,0.099,0.025,0.032,0.025,0.0,0.0,0.0,1429.66
MA_2026_BEAR,2026,Bear,0.115,0.0175,0.015,0.036,-0.035,-0.02,-0.15,1402.5
MA_2026_BASE,2026,Base,0.098,0.025,0.031,0.022,0.0,0.0,0.0,1650.0
MA_2026_BULL,2026,Bull,0.088,0.03,0.041,0.018,0.03,0.015,0.12,1848.0
MA_2027_BEAR,2027,Bear,0.1135,0.0179,0.0158,0.0345,-0.0325,-0.019,-0.14,1482.86
MA_2027_BASE,2027,Base,0.0973,0.025,0.031,0.0218,0.0,0.0,0.0,1724.25
MA_2027_BULL,2027,Bull,0.0872,0.03,0.0406,0.0179,0.0285,0.0145,0.115,1922.54
MA_2028_BEAR,2028,Bear,0.112,0.0183,0.0166,0.033,-0.03,-0.018,-0.13,1567.6
MA_2028_BASE,2028,Base,0.0966,0.025,0.031,0.0215,0.0,0.0,0.0,1801.84
MA_2028_BULL,2028,Bull,0.0864,0.03,0.0402,0.0178,0.027,0.014,0.11,2000.04
MA_2029_BEAR,2029,Bear,0.1105,0.0187,0.0174,0.0315,-0.0275,-0.017,-0.12,1656.97
MA_2029_BASE,2029,Base,0.0959,0.025,0.031,0.0212,0.0,0.0,0.0,1882.92
MA_2029_BULL,2029,Bull,0.0856,0.03,0.0398,0.0177,0.0255,0.0135,0.105,2080.63
MA_2030_BEAR,2030,Bear,0.109,0.0191,0.0182,0.03,-0.025,-0.016,-0.11,1751.22
MA_2030_BASE,2030,Base,0.0952,0.025,0.031,0.021,0.0,0.0,0.0,1967.66
MA_2030_BULL,2030,Bull,0.0848,0.03,0.0394,0.0176,0.024,0.013,0.1,2164.43
