performance_id,period_end,business_unit_id,region,currency_code,revenue_usd_m,cogs_usd_m,operating_expense_usd_m,depreciation_amortization_usd_m,capex_usd_m,effective_tax_rate,financial_outlier_flag,balance_id,cash_usd_m,accounts_receivable_usd_m,inventory_usd_m,accounts_payable_usd_m,net_fixed_assets_usd_m,total_debt_usd_m,balance_outlier_flag,year,ebitda_usd_m,ebitda_margin,ebit_usd_m,nopat_usd_m,net_working_capital_usd_m,invested_capital_usd_m,net_debt_usd_m,change_nwc_usd_m,free_cash_flow_usd_m,revenue_growth_yoy,ttm_nopat_usd_m,ttm_ebitda_usd_m,avg_invested_capital_usd_m,wacc,roic,roic_wacc_spread,economic_profit_usd_m,net_debt_to_ebitda,value_creation_flag
FP_202101_BU01_APAC,2021-01-31,BU01,Asia Pacific,USD,100.53,40.36,29.65,5.17,6.24,0.2231,0,BS_202101_BU01_APAC,68.57,167.5,2.71,55.27,691.18,772.43,0,2021,30.520000000000003,0.3035909678702875,25.35,19.694415000000003,114.94,806.1199999999999,703.8599999999999,0.0,18.624415,,,,,0.091,,,,,Not Available
FP_202102_BU01_APAC,2021-02-28,BU01,Asia Pacific,USD,103.18,41.03,30.03,5.23,6.68,0.226,0,BS_202102_BU01_APAC,68.02,183.84,2.92,62.01,692.63,786.05,0,2021,32.120000000000005,0.31130063965884863,26.890000000000004,20.812860000000004,124.75,817.38,718.03,9.810000000000002,9.552860000000003,,,,,0.091,,,,,Not Available
FP_202103_BU01_APAC,2021-03-31,BU01,Asia Pacific,USD,109.65,43.83,31.55,5.29,7.46,0.2294,0,BS_202103_BU01_APAC,67.09,178.94,2.82,59.76,694.8,796.4,0,2021,34.27000000000001,0.31253989968080265,28.98000000000001,22.331988000000006,122.0,816.8,729.31,-2.75,22.911988000000004,,,,,0.091,,,,,Not Available
FP_202104_BU01_APAC,2021-04-30,BU01,Asia Pacific,USD,109.63,43.93,32.22,5.36,7.32,0.2286,0,BS_202104_BU01_APAC,65.99,187.39,2.89,62.55,696.76,808.84,0,2021,33.47999999999999,0.30539086016601286,28.11999999999999,21.691767999999993,127.72999999999998,824.49,742.85,5.729999999999976,14.001768000000016,,,,,0.091,,,,,Not Available
FP_202105_BU01_APAC,2021-05-31,BU01,Asia Pacific,USD,111.23,44.35,32.55,5.43,7.52,0.2253,0,BS_202105_BU01_APAC,65.18,185.04,2.82,61.14,698.85,821.27,0,2021,34.33,0.308639755461656,28.9,22.38883,126.71999999999998,825.57,756.0899999999999,-1.009999999999991,21.30882999999999,,,,,0.091,,,,,Not Available
FP_202106_BU01_APAC,2021-06-30,BU01,Asia Pacific,USD,117.82,46.81,34.03,5.5,8.0,0.219,0,BS_202106_BU01_APAC,65.38,196.76,2.99,66.13,701.35,835.79,0,2021,36.97999999999999,0.3138686131386861,31.47999999999999,24.585879999999992,133.62,834.97,770.41,6.90000000000002,15.185879999999973,,,,,0.091,,,,,Not Available
FP_202107_BU01_APAC,2021-07-31,BU01,Asia Pacific,USD,110.97,44.19,32.45,5.57,7.5,0.2304,0,BS_202107_BU01_APAC,66.58,182.67,2.83,60.25,703.28,844.92,0,2021,34.33,0.30936289087140667,28.759999999999998,22.133696,125.25,828.53,778.3399999999999,-8.370000000000005,28.573696000000005,,,,,0.091,,,,,Not Available
FP_202108_BU01_APAC,2021-08-31,BU01,Asia Pacific,USD,110.63,44.0,33.14,5.64,7.29,0.2276,0,BS_202108_BU01_APAC,68.8,179.66,2.83,59.68,704.93,853.82,0,2021,33.489999999999995,0.3027207809816505,27.849999999999994,21.511339999999993,122.81,827.74,785.0200000000001,-2.4399999999999977,22.301339999999993,,,,,0.091,,,,,Not Available
FP_202109_BU01_APAC,2021-09-30,BU01,Asia Pacific,USD,120.62,47.84,34.92,5.71,7.76,0.2229,0,BS_202109_BU01_APAC,71.73,193.67,3.08,66.22,706.98,866.34,0,2021,37.86,0.31387829547338747,32.15,24.983765,130.53,837.51,794.61,7.719999999999999,15.213765000000002,,,,,0.091,,,,,Not Available
FP_202110_BU01_APAC,2021-10-31,BU01,Asia Pacific,USD,115.45,45.96,33.92,5.78,7.03,0.2259,0,BS_202110_BU01_APAC,74.64,184.57,2.99,61.77,708.23,873.57,0,2021,35.57000000000001,0.3080987440450412,29.790000000000006,23.060439000000006,125.78999999999999,834.02,798.9300000000001,-4.740000000000009,26.550439000000015,,,,,0.091,,,,,Not Available
