period_end,business_unit_id,business_unit_name,forecast_revenue_usd_m,forecast_ebitda_usd_m,forecast_fcf_usd_m,budget_revenue_usd_m,budget_ebitda_usd_m,budget_fcf_usd_m,revenue_vs_budget_pct,ebitda_vs_budget_pct,fcf_vs_budget_pct,forecast_budget_status,revenue_model,ebitda_model,fcf_model
2026-01-31,BU01,Digital & AI Services,812.19,244.36,144.75,786.32,242.44,180.8,0.03289471458584263,0.007936306060636533,-0.19937717863374457,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-02-28,BU01,Digital & AI Services,825.41,247.86,88.47,798.43,247.64,73.73,0.03379509612137619,0.0008985171647645686,0.1999364025784898,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-03-31,BU01,Digital & AI Services,874.85,265.46,130.87,861.4,269.97,162.6,0.015615119597620917,-0.016694093933237803,-0.19514128465466768,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-04-30,BU01,Digital & AI Services,877.54,263.72,115.9,848.93,263.94,123.81,0.03370566586903828,-0.000841474384195373,-0.06386004767370836,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-05-31,BU01,Digital & AI Services,892.92,264.85,135.28,862.01,267.14,158.23,0.035863194719530166,-0.008583852836394673,-0.14505676810763565,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-06-30,BU01,Digital & AI Services,930.32,280.37,102.05,910.68,284.23,96.99,0.021563332887607565,-0.013586878735432559,0.052203139846965514,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-07-31,BU01,Digital & AI Services,905.2,268.75,162.32,861.86,265.17,196.3,0.05028376179128544,0.013506881950070293,-0.17310333297006844,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-08-31,BU01,Digital & AI Services,923.34,273.87,124.4,875.15,270.3,142.71,0.055061678874592346,0.013197275356925726,-0.1282778572060677,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-09-30,BU01,Digital & AI Services,976.02,291.9,92.95,962.7,299.48,87.06,0.013832968957877112,-0.025310697541924804,0.06761477636404595,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-10-31,BU01,Digital & AI Services,970.67,288.49,158.53,949.37,294.33,181.53,0.022441032431602267,-0.019845372637225276,-0.1267192475892011,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-11-30,BU01,Digital & AI Services,995.18,296.92,108.92,973.56,305.21,122.24,0.022208631896632774,-0.02716498035102618,-0.10896421602840718,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-12-31,BU01,Digital & AI Services,1038.25,311.64,141.08,1027.36,322.58,164.41,0.01059706957239818,-0.03392228036829157,-0.14191223929611313,Normal,Exponential Smoothing,Exponential Smoothing,Exponential Smoothing
2026-01-31,BU02,Consumer Brands,538.92,116.78,216.14,510.7,92.52,246.0,0.05526155941937229,0.26221357544314744,-0.1213746683361341,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-02-28,BU02,Consumer Brands,544.16,116.78,197.15,518.99,93.5,213.15,0.04850562153626762,0.2489839572192515,-0.07505878846747414,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-03-31,BU02,Consumer Brands,600.34,116.78,75.87,578.16,107.92,59.3,0.03835446008020343,0.08209785025945157,0.2793496029792005,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-04-30,BU02,Consumer Brands,597.84,116.78,58.41,580.38,108.63,88.57,0.030089799264251697,0.07502531529043562,-0.34053623388370885,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-05-31,BU02,Consumer Brands,630.58,116.78,54.87,614.62,117.36,12.41,0.025973511573123862,-0.004942058623040082,3.4217939807206736,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
2026-06-30,BU02,Consumer Brands,640.02,116.78,38.29,629.82,120.88,30.03,0.016191009263317534,-0.03391793514228971,0.2749411763046722,Normal,Exponential Smoothing,Moving Average,Exponential Smoothing
