performance_id,period_end,business_unit_id,region,currency_code,revenue_usd_m,cogs_usd_m,operating_expense_usd_m,depreciation_amortization_usd_m,capex_usd_m,effective_tax_rate
FP_202101_BU01_APAC,2021-01-31,BU01,Asia Pacific,USD,100.53,40.36,29.65,5.17,6.24,0.2231
FP_202101_BU01_EU,2021-01-31,BU01,Europe,USD,81.72,33.71,24.33,4.10,5.20,0.2524
FP_202101_BU01_LATAM,2021-01-31,BU01,Latin America,USD,34.39,14.07,10.22,1.79,2.20,0.2737
FP_202101_BU01_NA,2021-01-31,BU01,North America,USD,133.79,54.41,39.22,6.78,8.26,0.2480
FP_202101_BU02_APAC,2021-01-31,BU02,Asia Pacific,USD,95.32,56.98,21.52,4.97,5.88,0.2215
FP_202101_BU02_EU,2021-01-31,BU02,Europe,USD,107.71,65.77,23.83,5.61,6.22,0.2576
FP_202101_BU02_LATAM,2021-01-31,BU02,Latin America,USD,49.66,30.61,11.26,2.59,3.07,0.2689
FP_202101_BU02_NA,2021-01-31,BU02,North America,USD,160.08,96.65,36.37,8.42,9.58,0.2443
FP_202101_BU03_APAC,2021-01-31,BU03,Asia Pacific,USD,79.42,37.63,21.32,4.38,6.05,0.2245
FP_202101_BU03_EU,2021-01-31,BU03,Europe,USD,97.17,47.77,25.80,5.46,7.46,0.2563
FP_202101_BU03_LATAM,2021-01-31,BU03,Latin America,USD,31.34,15.43,8.27,1.75,2.45,0.2721
FP_202101_BU03_NA,2021-01-31,BU03,North America,USD,183.04,88.61,49.38,10.29,14.12,0.2470
FP_202101_BU04_APAC,2021-01-31,BU04,Asia Pacific,USD,109.65,67.33,20.34,7.24,10.03,0.2250
FP_202101_BU04_EU,2021-01-31,BU04,Europe,USD,132.31,83.31,24.40,9.72,13.19,0.2530
FP_202101_BU04_LATAM,2021-01-31,BU04,Latin America,USD,46.14,29.39,8.59,3.02,4.22,0.2702
FP_202101_BU04_NA,2021-01-31,BU04,North America,USD,160.20,99.88,30.69,11.14,14.87,0.2462
FP_202101_BU05_APAC,2021-01-31,BU05,Asia Pacific,USD,56.49,21.63,16.19,2.50,2.82,0.2256
FP_202101_BU05_EU,2021-01-31,BU05,Europe,USD,36.45,14.30,10.58,1.66,1.86,0.2522
FP_202101_BU05_LATAM,2021-01-31,BU05,Latin America,USD,18.80,7.53,5.48,0.83,0.95,0.2704
FP_202101_BU05_NA,2021-01-31,BU05,North America,USD,73.35,28.50,21.14,3.32,3.75,0.2504
FP_202102_BU01_APAC,2021-02-28,BU01,Asia Pacific,USD,103.18,41.03,30.03,5.23,6.68,0.2260
FP_202102_BU01_EU,2021-02-28,BU01,Europe,USD,79.26,32.34,23.21,4.15,5.16,
FP_202102_BU01_LATAM,2021-02-28,BU01,Latin America,USD,35.37,14.56,10.50,1.81,2.28,0.2700
FP_202102_BU01_NA,2021-02-28,BU01,North America,USD,133.20,53.68,38.86,6.86,8.72,0.2431
FP_202102_BU02_APAC,2021-02-28,BU02,Asia Pacific,USD,95.33,57.13,21.49,5.01,6.07,0.2281
FP_202102_BU02_EU,2021-02-28,BU02,Europe,USD,108.40,66.00,24.23,5.65,6.86,0.2574
FP_202102_BU02_LATAM,2021-02-28,BU02,Latin America,USD,49.68,30.54,11.23,2.61,3.16,0.2715
FP_202102_BU02_NA,2021-02-28,BU02,North America,USD,158.09,95.83,36.32,8.48,10.40,0.2520
FP_202102_BU03_APAC,2021-02-28,BU03,Asia Pacific,USD,78.62,37.14,21.16,4.42,6.46,0.2276
FP_202102_BU03_EU,2021-02-28,BU03,Europe,USD,99.44,49.19,26.96,5.51,7.71,0.2570
FP_202102_BU03_LATAM,2021-02-28,BU03,Latin America,USD,31.94,15.73,8.62,1.76,2.52,0.2735
FP_202102_BU03_NA,2021-02-28,BU03,North America,USD,182.38,88.44,48.48,10.37,14.23,0.2483
FP_202102_BU04_APAC,2021-02-28,BU04,Asia Pacific,USD,110.92,68.40,20.60,7.28,10.37,0.2225
FP_202102_BU04_EU,2021-02-28,BU04,Europe,USD,134.76,84.69,24.51,9.77,13.47,0.2583
FP_202102_BU04_LATAM,2021-02-28,BU04,Latin America,USD,47.29,29.94,8.67,3.03,4.31,0.2718
FP_202102_BU04_NA,2021-02-28,BU04,North America,USD,170.62,106.56,31.88,11.20,15.97,0.2492
FP_202102_BU05_APAC,2021-02-28,BU05,Asia Pacific,USD,60.02,22.83,17.11,2.53,3.13,0.2215
FP_202102_BU05_EU,2021-02-28,BU05,Europe,USD,37.69,14.87,11.04,1.68,1.96,0.2580
FP_202102_BU05_LATAM,2021-02-28,BU05,Latin America,USD,19.84,7.92,5.60,0.84,0.98,0.2707
FP_202102_BU05_NA,2021-02-28,BU05,North America,USD,76.95,29.89,21.83,3.36,3.96,0.2474
FP_202103_BU01_APAC,2021-03-31,BU01,Asia Pacific,USD,109.65,43.83,31.55,5.29,7.46,0.2294
FP_202103_BU01_EU,2021-03-31,BU01,Europe,USD,84.61,34.51,24.55,4.20,5.48,0.2589
FP_202103_BU01_LATAM,2021-03-31,BU01,Latin America,USD,38.07,15.63,11.06,1.83,2.50,0.2672
FP_202103_BU01_NA,2021-03-31,BU01,North America,USD,145.89,58.71,41.96,6.94,9.66,0.2460
FP_202103_BU02_APAC,2021-03-31,BU02,Asia Pacific,USD,104.32,62.45,22.56,5.05,6.81,0.2231
FP_202103_BU02_EU,2021-03-31,BU02,Europe,USD,122.35,74.57,26.00,5.69,8.05,0.2601
FP_202103_BU02_LATAM,2021-03-31,BU02,Latin America,USD,53.74,33.08,11.69,2.63,3.43,0.2736
FP_202103_BU02_NA,2021-03-31,BU02,North America,USD,185.96,112.64,38.77,8.55,12.13,0.2457
FP_202103_BU03_APAC,2021-03-31,BU03,Asia Pacific,USD,84.30,40.05,22.11,4.46,7.06,0.2277
FP_202103_BU03_EU,2021-03-31,BU03,Europe,USD,103.12,50.98,27.00,5.56,8.34,0.2570
FP_202103_BU03_LATAM,2021-03-31,BU03,Latin America,USD,32.35,15.90,8.60,1.78,2.64,0.2701
FP_202103_BU03_NA,2021-03-31,BU03,North America,USD,194.61,94.46,51.42,10.46,16.28,0.2438
FP_202103_BU04_APAC,2021-03-31,BU04,Asia Pacific,USD,121.11,74.14,21.10,7.32,11.77,0.2264
FP_202103_BU04_EU,2021-03-31,BU04,Europe,USD,148.33,93.67,25.25,9.82,13.72,0.2546
FP_202103_BU04_LATAM,2021-03-31,BU04,Latin America,USD,51.99,33.06,9.01,3.05,4.93,0.2739
FP_202103_BU04_NA,2021-03-31,BU04,North America,USD,185.61,116.01,32.87,11.27,18.52,0.2499
FP_202103_BU05_APAC,2021-03-31,BU05,Asia Pacific,USD,62.05,23.72,17.62,2.56,3.33,0.2253
FP_202103_BU05_EU,2021-03-31,BU05,Europe,USD,41.58,16.33,11.77,1.70,2.19,0.2547
FP_202103_BU05_LATAM,2021-03-31,BU05,Latin America,USD,21.20,8.43,5.89,0.85,1.14,0.2708
FP_202103_BU05_NA,2021-03-31,BU05,North America,USD,85.83,33.57,24.16,3.41,4.63,0.2541
FP_202104_BU01_APAC,2021-04-30,BU01,Asia Pacific,USD,109.63,43.93,32.22,5.36,7.32,0.2286
FP_202104_BU01_EU,2021-04-30,BU01,Europe,USD,85.62,34.98,25.14,4.25,6.14,0.2606
FP_202104_BU01_LATAM,2021-04-30,BU01,Latin America,USD,37.09,15.17,10.75,1.85,2.52,0.2745
FP_202104_BU01_NA,2021-04-30,BU01,North America,USD,142.79,57.58,41.70,7.03,9.66,0.2439
FP_202104_BU02_APAC,2021-04-30,BU02,Asia Pacific,USD,107.87,64.60,22.98,5.09,6.96,0.2269
FP_202104_BU02_EU,2021-04-30,BU02,Europe,USD,118.14,72.03,25.81,5.74,7.68,0.2552
FP_202104_BU02_LATAM,2021-04-30,BU02,Latin America,USD,57.21,35.24,11.95,2.65,3.82,0.2661
FP_202104_BU02_NA,2021-04-30,BU02,North America,USD,180.32,109.40,38.42,8.62,11.91,0.2466
FP_202104_BU03_APAC,2021-04-30,BU03,Asia Pacific,USD,82.02,39.34,21.84,4.50,6.97,0.2254
FP_202104_BU03_EU,2021-04-30,BU03,Europe,USD,98.52,48.36,26.57,5.61,8.17,0.2545
FP_202104_BU03_LATAM,2021-04-30,BU03,Latin America,USD,32.15,15.91,8.68,1.79,2.65,0.2726
FP_202104_BU03_NA,2021-04-30,BU03,North America,USD,187.89,91.26,50.04,10.56,15.45,0.2488
FP_202104_BU04_APAC,2021-04-30,BU04,Asia Pacific,USD,123.75,75.89,21.57,7.37,12.35,0.2250
FP_202104_BU04_EU,2021-04-30,BU04,Europe,USD,146.00,91.59,25.40,9.87,13.98,0.2541
FP_202104_BU04_LATAM,2021-04-30,BU04,Latin America,USD,53.14,33.55,9.02,3.07,5.33,0.2707
FP_202104_BU04_NA,2021-04-30,BU04,North America,USD,185.26,115.98,32.43,11.33,17.99,0.2441
