assumption_id,year,scenario,wacc,terminal_growth_rate,gdp_growth_rate,inflation_rate,revenue_growth_adjustment_pp,ebitda_margin_adjustment_pp,capex_adjustment_pct,capital_budget_usd_m
MA_2021_BASE,2021,Base,0.0910,0.0250,0.0660,0.0310,0.0000,0.0000,0.0000,1017.61
MA_2022_BASE,2022,Base,0.0980,0.0250,0.0380,0.0730,0.0000,0.0000,0.0000,1062.72
MA_2023_BASE,2023,Base,0.1040,0.0240,0.0350,0.0460,0.0000,0.0000,0.0000,1105.31
MA_2024_BASE,2024,Base,0.1010,0.0250,0.0330,0.0260,0.0000,0.0000,0.0000,1266.03
MA_2025_BASE,2025,Base,0.0990,0.0250,0.0320,0.0250,0.0000,0.0000,0.0000,1429.66
MA_2026_BEAR,2026,Bear,0.1150,0.0175,0.0150,0.0360,-0.0350,-0.0200,-0.1500,1402.50
MA_2026_BASE,2026,Base,0.0980,0.0250,0.0310,0.0220,0.0000,0.0000,0.0000,1650.00
MA_2026_BULL,2026,Bull,0.0880,0.0300,0.0410,0.0180,0.0300,0.0150,0.1200,1848.00
MA_2027_BEAR,2027,Bear,0.1135,0.0179,0.0158,0.0345,-0.0325,-0.0190,-0.1400,1482.86
MA_2027_BASE,2027,Base,0.0973,0.0250,0.0310,0.0218,0.0000,0.0000,0.0000,1724.25
MA_2027_BULL,2027,Bull,0.0872,0.0300,0.0406,0.0179,0.0285,0.0145,0.1150,1922.54
MA_2028_BEAR,2028,Bear,0.1120,0.0183,0.0166,0.0330,-0.0300,-0.0180,-0.1300,1567.60
MA_2028_BASE,2028,Base,0.0966,0.0250,0.0310,0.0215,0.0000,0.0000,0.0000,1801.84
MA_2028_BULL,2028,Bull,0.0864,0.0300,0.0402,0.0178,0.0270,0.0140,0.1100,2000.04
MA_2029_BEAR,2029,Bear,0.1105,0.0187,0.0174,0.0315,-0.0275,-0.0170,-0.1200,1656.97
MA_2029_BASE,2029,Base,0.0959,0.0250,0.0310,0.0212,0.0000,0.0000,0.0000,1882.92
MA_2029_BULL,2029,Bull,0.0856,0.0300,0.0398,0.0177,0.0255,0.0135,0.1050,2080.63
MA_2030_BEAR,2030,Bear,0.1090,0.0191,0.0182,0.0300,-0.0250,-0.0160,-0.1100,1751.22
MA_2030_BASE,2030,Base,0.0952,0.0250,0.0310,0.0210,0.0000,0.0000,0.0000,1967.66
MA_2030_BULL,2030,Bull,0.0848,0.0300,0.0394,0.0176,0.0240,0.0130,0.1000,2164.43
